Matrix of values from data file Obj_mmNew_340A.POU
  ZMin:   1.0600E+03    RMin:   0.0000E+00
  ZMax:   1.0900E+03    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz        Br
=============================================================================
   1064.740  0.0000E+00     1.4389E-03  1.4389E-03 -4.0064E-09
   1064.800  0.0000E+00     1.4894E-03  1.4894E-03 -1.1774E-07
   1064.860  0.0000E+00     1.5433E-03  1.5433E-03  1.6809E-07
   1064.920  0.0000E+00     1.6004E-03  1.6004E-03  3.9277E-08
   1064.980  0.0000E+00     1.6576E-03  1.6576E-03 -8.9537E-08
   1065.040  0.0000E+00     1.7148E-03  1.7148E-03 -2.1861E-07
   1065.100  0.0000E+00     1.7807E-03  1.7807E-03  9.0798E-08
   1065.160  0.0000E+00     1.8453E-03  1.8453E-03 -5.4102E-08
   1065.220  0.0000E+00     1.9100E-03  1.9100E-03 -1.9929E-07
   1065.280  0.0000E+00     1.9816E-03  1.9816E-03  1.6044E-07
   1065.340  0.0000E+00     2.0547E-03  2.0547E-03 -3.9596E-09
   1065.400  0.0000E+00     2.1279E-03  2.1279E-03 -1.6868E-07
   1065.460  0.0000E+00     2.2055E-03  2.2055E-03  2.4195E-07
   1065.520  0.0000E+00     2.2881E-03  2.2881E-03  5.7119E-08
   1065.580  0.0000E+00     2.3708E-03  2.3708E-03 -1.2808E-07
   1065.640  0.0000E+00     2.4534E-03  2.4534E-03 -3.1291E-07
   1065.700  0.0000E+00     2.5484E-03  2.5484E-03  1.3166E-07
   1065.760  0.0000E+00     2.6419E-03  2.6419E-03 -7.7784E-08
   1065.820  0.0000E+00     2.7352E-03  2.7352E-03 -2.8681E-07
   1065.880  0.0000E+00     2.8384E-03  2.8384E-03  2.2602E-07
   1065.940  0.0000E+00     2.9438E-03  2.9438E-03 -6.6334E-09
   1066.000  0.0000E+00     3.0494E-03  3.0494E-03 -2.3975E-07
   1066.060  0.0000E+00     3.1611E-03  3.1611E-03  3.4565E-07
   1066.120  0.0000E+00     3.2800E-03  3.2800E-03  8.3281E-08
   1066.180  0.0000E+00     3.3992E-03  3.3992E-03 -1.7961E-07
   1066.240  0.0000E+00     3.5180E-03  3.5180E-03 -4.4198E-07
   1066.300  0.0000E+00     3.6545E-03  3.6545E-03  1.9016E-07
   1066.360  0.0000E+00     3.7889E-03  3.7889E-03 -1.0885E-07
   1066.420  0.0000E+00     3.9230E-03  3.9230E-03 -4.0727E-07
   1066.480  0.0000E+00     4.0712E-03  4.0712E-03  3.1621E-07
   1066.540  0.0000E+00     4.2227E-03  4.2227E-03 -1.3340E-08
   1066.600  0.0000E+00     4.3740E-03  4.3740E-03 -3.4224E-07
   1066.660  0.0000E+00     4.5342E-03  4.5342E-03  4.8898E-07
   1066.720  0.0000E+00     4.7049E-03  4.7049E-03  1.1985E-07
   1066.780  0.0000E+00     4.8753E-03  4.8753E-03 -2.4855E-07
   1066.840  0.0000E+00     5.0457E-03  5.0457E-03 -6.1695E-07
   1066.900  0.0000E+00     5.2401E-03  5.2401E-03  2.6083E-07
   1066.960  0.0000E+00     5.4316E-03  5.4316E-03 -1.4854E-07
   1067.020  0.0000E+00     5.6231E-03  5.6231E-03 -5.5791E-07
   1067.080  0.0000E+00     5.8346E-03  5.8346E-03  4.4395E-07
   1067.140  0.0000E+00     6.0497E-03  6.0497E-03 -1.5723E-08
