Matrix of values from data file Cathode_N_PML_450A_mmNew.POU
  ZMin:   6.0000E+01    RMin:   0.0000E+00
  ZMax:   9.0000E+01    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz         Br
=============================================================================
  6.4440E+01  0.0000E+00     1.4160E-04  1.4160E-04  1.0165E-09
  6.4500E+01  0.0000E+00     1.4323E-04  1.4323E-04 -2.0126E-09
  6.4560E+01  0.0000E+00     1.4492E-04  1.4492E-04  1.3025E-11
  6.4620E+01  0.0000E+00     1.4665E-04  1.4665E-04  2.3366E-09
  6.4680E+01  0.0000E+00     1.4845E-04  1.4845E-04 -1.1481E-09
  6.4740E+01  0.0000E+00     1.5030E-04  1.5030E-04  1.2330E-09
  6.4800E+01  0.0000E+00     1.5220E-04  1.5220E-04 -2.4712E-09
  6.4860E+01  0.0000E+00     1.5419E-04  1.5419E-04  8.0573E-12
  6.4920E+01  0.0000E+00     1.5621E-04  1.5621E-04  2.8231E-09
  6.4980E+01  0.0000E+00     1.5832E-04  1.5832E-04 -1.3964E-09
  6.5040E+01  0.0000E+00     1.6050E-04  1.6050E-04  1.5133E-09
  6.5100E+01  0.0000E+00     1.6273E-04  1.6273E-04 -3.0029E-09
  6.5160E+01  0.0000E+00     1.6508E-04  1.6508E-04  5.2880E-12
  6.5220E+01  0.0000E+00     1.6746E-04  1.6746E-04  3.4189E-09
  6.5280E+01  0.0000E+00     1.6996E-04  1.6996E-04 -1.6983E-09
  6.5340E+01  0.0000E+00     1.7253E-04  1.7253E-04  1.8264E-09
  6.5400E+01  0.0000E+00     1.7517E-04  1.7517E-04 -3.6306E-09
  6.5460E+01  0.0000E+00     1.7794E-04  1.7794E-04  7.7471E-12
  6.5520E+01  0.0000E+00     1.8077E-04  1.8077E-04  4.1284E-09
  6.5580E+01  0.0000E+00     1.8373E-04  1.8373E-04 -2.0497E-09
  6.5640E+01  0.0000E+00     1.8678E-04  1.8678E-04  2.2051E-09
  6.5700E+01  0.0000E+00     1.8991E-04  1.8991E-04 -4.3834E-09
  6.5760E+01  0.0000E+00     1.9320E-04  1.9320E-04  7.4658E-13
  6.5820E+01  0.0000E+00     1.9655E-04  1.9655E-04  4.9609E-09
  6.5880E+01  0.0000E+00     2.0007E-04  2.0007E-04 -2.4829E-09
  6.5940E+01  0.0000E+00     2.0369E-04  2.0369E-04  2.6568E-09
  6.6000E+01  0.0000E+00     2.0742E-04  2.0742E-04 -5.2725E-09
  6.6060E+01  0.0000E+00     2.1133E-04  2.1133E-04  5.2368E-12
  6.6120E+01  0.0000E+00     2.1533E-04  2.1533E-04  5.9849E-09
  6.6180E+01  0.0000E+00     2.1951E-04  2.1951E-04 -3.0152E-09
  6.6240E+01  0.0000E+00     2.2383E-04  2.2383E-04  3.1593E-09
  6.6300E+01  0.0000E+00     2.2827E-04  2.2827E-04 -6.3437E-09
  6.6360E+01  0.0000E+00     2.3294E-04  2.3294E-04  1.6968E-11
