Matrix of values from data file Adj_mmNew_275A.POU
  ZMin:   3.5000E+02    RMin:   0.0000E+00
  ZMax:   3.9000E+02    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|         Bz         Br
=============================================================================
  3.5592E+02  0.0000E+00     1.5657E-03  1.5657E-03 -1.3888E-08
  3.5600E+02  0.0000E+00     1.6049E-03  1.6049E-03  4.4430E-09
  3.5608E+02  0.0000E+00     1.6451E-03  1.6451E-03  2.4218E-08
  3.5616E+02  0.0000E+00     1.6864E-03  1.6864E-03 -2.8678E-08
  3.5624E+02  0.0000E+00     1.7291E-03  1.7291E-03 -8.7325E-09
  3.5632E+02  0.0000E+00     1.7728E-03  1.7728E-03  1.2192E-08
  3.5640E+02  0.0000E+00     1.8176E-03  1.8176E-03  3.4085E-08
  3.5648E+02  0.0000E+00     1.8638E-03  1.8638E-03 -2.3940E-08
  3.5656E+02  0.0000E+00     1.9114E-03  1.9114E-03 -2.1857E-09
  3.5664E+02  0.0000E+00     1.9602E-03  1.9602E-03  2.1199E-08
  3.5672E+02  0.0000E+00     2.0101E-03  2.0101E-03 -4.1917E-08
  3.5680E+02  0.0000E+00     2.0618E-03  2.0618E-03 -1.8329E-08
  3.5688E+02  0.0000E+00     2.1148E-03  2.1148E-03  6.7356E-09
  3.5696E+02  0.0000E+00     2.1691E-03  2.1691E-03  3.2115E-08
  3.5704E+02  0.0000E+00     2.2250E-03  2.2250E-03 -3.7899E-08
  3.5712E+02  0.0000E+00     2.2827E-03  2.2827E-03 -1.1452E-08
  3.5720E+02  0.0000E+00     2.3418E-03  2.3418E-03  1.5007E-08
  3.5728E+02  0.0000E+00     2.4023E-03  2.4023E-03  4.7262E-08
  3.5736E+02  0.0000E+00     2.4649E-03  2.4649E-03 -3.1892E-08
  3.5744E+02  0.0000E+00     2.5291E-03  2.5291E-03 -2.8929E-09
  3.5752E+02  0.0000E+00     2.5949E-03  2.5949E-03  3.0155E-08
  3.5760E+02  0.0000E+00     2.6623E-03  2.6623E-03 -5.5696E-08
  3.5768E+02  0.0000E+00     2.7322E-03  2.7322E-03 -2.3678E-08
  3.5776E+02  0.0000E+00     2.8038E-03  2.8038E-03  7.9111E-09
  3.5784E+02  0.0000E+00     2.8770E-03  2.8770E-03  4.3140E-08
  3.5792E+02  0.0000E+00     2.9524E-03  2.9524E-03 -4.9621E-08
  3.5800E+02  0.0000E+00     3.0303E-03  3.0303E-03 -1.5202E-08
  3.5808E+02  0.0000E+00     3.1099E-03  3.1099E-03  2.2477E-08
  3.5816E+02  0.0000E+00     3.1915E-03  3.1915E-03  6.1060E-08
  3.5824E+02  0.0000E+00     3.2757E-03  3.2757E-03 -4.2753E-08
  3.5832E+02  0.0000E+00     3.3623E-03  3.3623E-03 -2.9567E-09
  3.5840E+02  0.0000E+00     3.4509E-03  3.4509E-03  3.6394E-08
  3.5848E+02  0.0000E+00     3.5416E-03  3.5416E-03 -7.3330E-08
  3.5856E+02  0.0000E+00     3.6358E-03  3.6358E-03 -3.1931E-08
  3.5864E+02  0.0000E+00     3.7320E-03  3.7320E-03  1.0472E-08
  3.5872E+02  0.0000E+00     3.8305E-03  3.8305E-03  5.9736E-08
  3.5880E+02  0.0000E+00     3.9317E-03  3.9317E-03 -6.4503E-08
  3.5888E+02  0.0000E+00     4.0361E-03  4.0361E-03 -1.9007E-08
  3.5896E+02  0.0000E+00     4.1431E-03  4.1431E-03  2.9685E-08
  3.5904E+02  0.0000E+00     4.2524E-03  4.2524E-03  8.0099E-08
  3.5912E+02  0.0000E+00     4.3653E-03  4.3653E-03 -5.3797E-08
  3.5920E+02  0.0000E+00     4.4814E-03  4.4814E-03 -3.9497E-09
  3.5928E+02  0.0000E+00     4.6000E-03  4.6000E-03  4.9668E-08
  3.5936E+02  0.0000E+00     4.7214E-03  4.7214E-03 -9.4529E-08
  3.5944E+02  0.0000E+00     4.8472E-03  4.8472E-03 -4.1403E-08
  3.5952E+02  0.0000E+00     4.9758E-03  4.9758E-03  1.5365E-08
  3.5960E+02  0.0000E+00     5.1072E-03  5.1072E-03  7.5669E-08
  3.5968E+02  0.0000E+00     5.2424E-03  5.2424E-03 -8.3928E-08
  3.5976E+02  0.0000E+00     5.3817E-03  5.3817E-03 -2.4673E-08
  3.5984E+02  0.0000E+00     5.5241E-03  5.5241E-03  3.8378E-08
  3.5992E+02  0.0000E+00     5.6697E-03  5.6697E-03  1.0509E-07
  3.6000E+02  0.0000E+00     5.8199E-03  5.8199E-03 -6.8774E-08
  3.6008E+02  0.0000E+00     5.9740E-03  5.9740E-03 -5.9139E-09
  3.6016E+02  0.0000E+00     6.1315E-03  6.1315E-03  6.5425E-08
  3.6024E+02  0.0000E+00     6.2926E-03  6.2926E-03 -1.1876E-07
  3.6032E+02  0.0000E+00     6.4592E-03  6.4592E-03 -5.2154E-08
  3.6040E+02  0.0000E+00     6.6293E-03  6.6293E-03  2.0217E-08
  3.6048E+02  0.0000E+00     6.8032E-03  6.8032E-03  9.6285E-08
  3.6056E+02  0.0000E+00     6.9817E-03  6.9817E-03 -1.0523E-07
  3.6064E+02  0.0000E+00     7.1655E-03  7.1655E-03 -3.1278E-08
  3.6072E+02  0.0000E+00     7.3531E-03  7.3531E-03  4.8014E-08
  3.6080E+02  0.0000E+00     7.5447E-03  7.5447E-03  1.3355E-07
  3.6088E+02  0.0000E+00     7.7421E-03  7.7421E-03 -8.7774E-08
  3.6096E+02  0.0000E+00     7.9442E-03  7.9442E-03 -4.3281E-09
  3.6104E+02  0.0000E+00     8.1506E-03  8.1506E-03  8.4627E-08
  3.6112E+02  0.0000E+00     8.3615E-03  8.3615E-03 -1.4534E-07
  3.6120E+02  0.0000E+00     8.5789E-03  8.5789E-03 -6.3271E-08
  3.6128E+02  0.0000E+00     8.8009E-03  8.8009E-03  2.5857E-08
  3.6136E+02  0.0000E+00     9.0272E-03  9.0272E-03  1.1344E-07
  3.6144E+02  0.0000E+00     9.2594E-03  9.2594E-03 -1.2552E-07
  3.6152E+02  0.0000E+00     9.4977E-03  9.4977E-03 -3.3818E-08
  3.6160E+02  0.0000E+00     9.7404E-03  9.7404E-03  6.0034E-08
  3.6168E+02  0.0000E+00     9.9881E-03  9.9881E-03  1.5634E-07
  3.6176E+02  0.0000E+00     1.0243E-02  1.0243E-02 -1.0371E-07
  3.6184E+02  0.0000E+00     1.0503E-02  1.0503E-02 -1.2911E-09
  3.6192E+02  0.0000E+00     1.0768E-02  1.0768E-02  9.4208E-08
  3.6200E+02  0.0000E+00     1.1038E-02  1.1038E-02 -1.7282E-07
  3.6208E+02  0.0000E+00     1.1316E-02  1.1316E-02 -7.2171E-08
  3.6216E+02  0.0000E+00     1.1598E-02  1.1598E-02  2.9435E-08
  3.6224E+02  0.0000E+00     1.1886E-02  1.1886E-02  1.3620E-07
  3.6232E+02  0.0000E+00     1.2180E-02  1.2180E-02 -1.3756E-07
  3.6240E+02  0.0000E+00     1.2481E-02  1.2481E-02 -4.0677E-08
  3.6248E+02  0.0000E+00     1.2787E-02  1.2787E-02  6.8298E-08
  3.6256E+02  0.0000E+00     1.3097E-02  1.3097E-02  1.5949E-07
  3.6264E+02  0.0000E+00     1.3416E-02  1.3416E-02 -1.0332E-07
  3.6272E+02  0.0000E+00     1.3739E-02  1.3739E-02  1.9694E-09
  3.6280E+02  0.0000E+00     1.4068E-02  1.4068E-02  9.4033E-08
  3.6288E+02  0.0000E+00     1.4402E-02  1.4402E-02 -1.6925E-07
  3.6296E+02  0.0000E+00     1.4744E-02  1.4744E-02 -6.3489E-08
  3.6304E+02  0.0000E+00     1.5090E-02  1.5090E-02  3.2241E-08
  3.6312E+02  0.0000E+00     1.5442E-02  1.5442E-02  1.2710E-07
  3.6320E+02  0.0000E+00     1.5799E-02  1.5799E-02 -1.2850E-07
  3.6328E+02  0.0000E+00     1.6162E-02  1.6162E-02 -3.1252E-08
  3.6336E+02  0.0000E+00     1.6530E-02  1.6530E-02  5.8578E-08
  3.6344E+02  0.0000E+00     1.6902E-02  1.6902E-02  1.4292E-07
  3.6352E+02  0.0000E+00     1.7281E-02  1.7281E-02 -7.9374E-08
  3.6360E+02  0.0000E+00     1.7664E-02  1.7664E-02 -1.6718E-09
  3.6368E+02  0.0000E+00     1.8051E-02  1.8051E-02  7.5533E-08
  3.6376E+02  0.0000E+00     1.8443E-02  1.8443E-02 -1.2108E-07
  3.6384E+02  0.0000E+00     1.8839E-02  1.8839E-02 -4.2704E-08
  3.6392E+02  0.0000E+00     1.9239E-02  1.9239E-02  2.3248E-08
  3.6400E+02  0.0000E+00     1.9641E-02  1.9641E-02  7.6530E-08
  3.6408E+02  0.0000E+00     2.0048E-02  2.0048E-02 -6.9467E-08
  3.6416E+02  0.0000E+00     2.0458E-02  2.0458E-02 -1.1501E-08
  3.6424E+02  0.0000E+00     2.0870E-02  2.0870E-02  2.9895E-08
  3.6432E+02  0.0000E+00     2.1284E-02  2.1284E-02  5.4381E-08
  3.6440E+02  0.0000E+00     2.1702E-02  2.1702E-02 -2.4256E-08
  3.6448E+02  0.0000E+00     2.2119E-02  2.2119E-02  5.7482E-09
  3.6456E+02  0.0000E+00     2.2538E-02  2.2538E-02  1.4804E-08
  3.6464E+02  0.0000E+00     2.2959E-02  2.2959E-02 -1.3167E-08
  3.6472E+02  0.0000E+00     2.3379E-02  2.3379E-02  9.6762E-09
  3.6480E+02  0.0000E+00     2.3798E-02  2.3798E-02  3.2719E-09
  3.6488E+02  0.0000E+00     2.4217E-02  2.4217E-02 -3.4706E-08
  3.6496E+02  0.0000E+00     2.4636E-02  2.4636E-02  4.2975E-08
  3.6504E+02  0.0000E+00     2.5051E-02  2.5051E-02  2.3251E-08
  3.6512E+02  0.0000E+00     2.5464E-02  2.5464E-02 -3.1471E-08
  3.6520E+02  0.0000E+00     2.5875E-02  2.5875E-02 -9.1382E-08
