      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  0.390000       0.00000      3.055478E+00  0.000000E+00  3.055478E+00  0.000000E+00
  0.405000       0.00000      3.049281E+00  0.000000E+00  3.049281E+00  0.000000E+00
  0.420000       0.00000      3.041165E+00  0.000000E+00  3.041165E+00  0.000000E+00
  0.435000       0.00000      3.031576E+00  0.000000E+00  3.031576E+00  0.000000E+00
  0.450000       0.00000      3.018937E+00  0.000000E+00  3.018937E+00  0.000000E+00
  0.465000       0.00000      3.003563E+00  0.000000E+00  3.003563E+00  0.000000E+00
  0.480000       0.00000      2.985128E+00  0.000000E+00  2.985128E+00  0.000000E+00
  0.495000       0.00000      2.964180E+00  0.000000E+00  2.964180E+00  0.000000E+00
  0.510000       0.00000      2.938690E+00  0.000000E+00  2.938690E+00  0.000000E+00
  0.525000       0.00000      2.909107E+00  0.000000E+00  2.909107E+00  0.000000E+00
  0.540000       0.00000      2.875064E+00  0.000000E+00  2.875064E+00  0.000000E+00
  0.555000       0.00000      2.837026E+00  0.000000E+00  2.837026E+00  0.000000E+00
  0.570000       0.00000      2.792962E+00  0.000000E+00  2.792962E+00  0.000000E+00
  0.585000       0.00000      2.743423E+00  0.000000E+00  2.743423E+00  0.000000E+00
  0.600000       0.00000      2.688153E+00  0.000000E+00  2.688153E+00  0.000000E+00
  0.615000       0.00000      2.627066E+00  0.000000E+00  2.627066E+00  0.000000E+00
  0.630000       0.00000      2.559464E+00  0.000000E+00  2.559464E+00  0.000000E+00
  0.645000       0.00000      2.485748E+00  0.000000E+00  2.485748E+00  0.000000E+00
  0.660000       0.00000      2.406036E+00  0.000000E+00  2.406036E+00  0.000000E+00
  0.675000       0.00000      2.319181E+00  0.000000E+00  2.319181E+00  0.000000E+00
  0.690000       0.00000      2.227683E+00  0.000000E+00  2.227683E+00  0.000000E+00
  0.705000       0.00000      2.131248E+00  0.000000E+00  2.131248E+00  0.000000E+00
  0.720000       0.00000      2.030541E+00  0.000000E+00  2.030541E+00  0.000000E+00
  0.735000       0.00000      1.923648E+00  0.000000E+00  1.923648E+00  0.000000E+00
  0.750000       0.00000      1.816437E+00  0.000000E+00  1.816437E+00  0.000000E+00
  0.765000       0.00000      1.707591E+00  0.000000E+00  1.707591E+00  0.000000E+00
  0.780000       0.00000      1.598124E+00  0.000000E+00  1.598124E+00  0.000000E+00
  0.795000       0.00000      1.486591E+00  0.000000E+00  1.486591E+00  0.000000E+00
  0.810000       0.00000      1.379114E+00  0.000000E+00  1.379114E+00  0.000000E+00
  0.825000       0.00000      1.274006E+00  0.000000E+00  1.274006E+00  0.000000E+00
  0.840000       0.00000      1.172116E+00  0.000000E+00  1.172116E+00  0.000000E+00
  0.855000       0.00000      1.073166E+00  0.000000E+00  1.073166E+00  0.000000E+00
  0.870000       0.00000      9.802141E-01  0.000000E+00  9.802141E-01  0.000000E+00
  0.885000       0.00000      8.922471E-01  0.000000E+00  8.922471E-01  0.000000E+00
  0.900000       0.00000      8.095920E-01  0.000000E+00  8.095920E-01  0.000000E+00
  0.915000       0.00000      7.327288E-01  0.000000E+00  7.327288E-01  0.000000E+00
  0.930000       0.00000      6.614478E-01  0.000000E+00  6.614478E-01  0.000000E+00
